
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 27.8  10.6    0.0   61.6  0.66  65.7    7.1  6.97   578     0   101   1.21 00:27:41    
 48.6  11.3    0.0   40.1  1.13 112.9   11.4  5.94   767     0   101   1.21 00:27:51    
 28.6  10.3    0.0   61.0  0.63  63.5    7.8  7.27   998     0   101   1.21 00:28:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 45.3  14.5    0.0   40.2  1.13 113.2   11.3  4.59  1131     0   101   1.21 00:28:11    
 34.7   8.1    0.0   57.3  0.72  72.1    7.7  5.30   613     0   101   1.21 00:28:21    
 45.3  14.0    0.0   40.7  1.00 100.1    9.7  6.39  1031     0   101   1.21 00:28:31    
 42.8   9.5    0.0   47.7  0.88  87.7    8.9  6.94   661     0   101   1.21 00:28:41    
 37.7  12.5    0.0   49.8  0.83  83.4    8.8  6.59   693     0   101   1.21 00:28:51    
 49.3  10.0    0.0   40.8  1.03 103.4    9.5  6.55   687     0   101   1.21 00:29:01    
 32.8  12.0    0.0   55.2  0.76  76.2    8.1  6.25   732     0   101   1.21 00:29:11    
 50.9   8.8    0.0   40.3  1.02 101.9    9.5  6.99   715     0   101   1.21 00:29:21    
 29.5  11.1    0.0   59.4  0.69  68.6    7.5  6.58   711     0   101   1.21 00:29:31    
 50.7   8.8    0.0   40.6  1.06 105.5    9.9  6.94   683     0   101   1.21 00:29:41    
 27.2  10.2    0.0   62.6  0.62  62.2    7.8  6.75   538     0   101   1.21 00:29:51    
 50.5  11.3    0.0   38.2  1.18 117.6   12.1  6.11   995     0   101   1.21 00:30:01    
 58.7  33.8    0.1    7.4  2.40 239.8   77.6  1.29  6336     0   101   1.21 00:30:11    
 36.1  17.0    0.0   46.9  0.90  90.2    8.7  3.02  1340     0   101   1.21 00:30:21    
 49.4   9.9    0.0   40.8  1.06 106.4    9.3  4.09   785     0   101   1.21 00:30:31    
 32.0  14.2    0.0   53.8  0.79  78.7    8.0  5.75  1111     0   101   1.21 00:30:41    
 50.0   9.3    0.0   40.7  1.05 105.2    9.8  6.54   620     0   101   1.21 00:30:51    
 29.3  11.5    0.0   59.2  0.69  69.1    7.6  6.22  1007     0   101   1.21 00:31:01    
 48.0  11.6    0.0   40.4  1.12 111.7   11.0  5.78   764     0   101   1.21 00:31:11    
 26.7   9.7    0.0   63.6  0.61  60.8    7.4  5.99   742     0   101   1.21 00:31:21    
 47.5  11.8    0.0   40.7  1.05 104.9    9.9  4.98   716     0   101   1.21 00:31:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 33.4   8.9    0.0   57.7  0.71  70.5    8.3  7.27   964     0   101   1.21 00:31:41    
 45.9  13.8    0.0   40.3  1.01 101.1    9.7  5.68   702     0   101   1.21 00:31:51    
 45.1  12.8    0.0   42.1  0.96  95.6   10.2  5.85  1093     0   101   1.21 00:32:01    
 37.1  14.2    0.0   48.7  0.87  86.9    8.5  5.93   859     0   101   1.21 00:32:11    
 49.0  10.9    0.0   40.1  1.07 107.3   10.4  5.69   940     0   101   1.21 00:32:21    
 28.4   9.5    0.0   62.1  0.65  64.7    7.1  6.46   613     0   101   1.21 00:32:31    
 49.4  10.4    0.0   40.2  1.11 110.9   10.7  5.70   777     0   101   1.21 00:32:41    
 27.8   9.8    0.0   62.4  0.64  64.0    6.8  6.83   487     0   101   1.21 00:32:51    
 49.4  11.0    0.0   39.6  1.13 112.8   11.4  6.05   712     0   101   1.21 00:33:01    
 27.1  13.7    0.0   59.2  0.70  69.6    7.4  4.84   978     0   101   1.21 00:33:11    
 48.0  12.4    0.0   39.6  1.07 106.8   11.1  4.41   837     0   101   1.21 00:33:21    
 28.9   8.0    0.0   63.1  0.63  62.5    7.3  6.21   853     0   101   1.21 00:33:31    
 46.6  13.1    0.0   40.3  1.16 116.3   10.7  7.12   927     0   101   1.21 00:33:41    
 30.7   5.6    0.0   63.7  0.62  61.8    6.4  6.10   532     0   101   1.21 00:33:51    
 45.1  14.5    0.0   40.4  1.08 108.1   10.5  6.08   827     0   101   1.21 00:34:01    
 39.5  16.0    0.1   44.4  0.93  93.4    9.9  4.46  1433     0   101   1.21 00:34:11    
 42.4  14.1    0.0   43.5  0.94  94.3    9.5  6.02   842     0   101   1.21 00:34:21    
 39.1   7.2    0.0   53.7  0.79  78.7    7.7  5.67   557     0   101   1.21 00:34:31    
 43.2  15.4    0.0   41.4  0.98  97.6   10.0  6.33   996     0   101   1.21 00:34:41    
 43.8   7.6    0.0   48.6  0.87  87.1    8.2  7.26   617     0   101   1.21 00:34:51    
 39.2  14.0    0.0   46.8  0.89  89.2    9.0  6.21   743     0   101   1.21 00:35:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 49.7  19.8    0.0   30.5  1.46 146.5   22.4  3.85  2060     0   101   1.21 00:35:11    
 29.7  13.6    0.0   56.7  0.74  73.8    6.9  4.78   979     0   101   1.21 00:35:21    
 49.8   9.3    0.0   40.9  1.04 104.0    9.4  5.57   617     0   101   1.21 00:35:31    
 30.4  11.7    0.0   57.9  0.71  70.9    7.4  6.69   803     0   101   1.21 00:35:41    
 48.8  10.4    0.0   40.9  1.09 109.3   10.3  5.51   600     0   101   1.21 00:35:51    
 27.6   9.2    0.0   63.1  0.60  60.4    8.0  7.04   650     0   101   1.21 00:36:01    
 42.0  19.3    0.0   38.6  1.26 126.0   14.0  3.26  2015     0   101   1.21 00:36:11    
 38.7   9.4    0.0   51.9  0.81  80.8    8.7  6.28   710     0   101   1.21 00:36:21    
 44.8  14.7    0.0   40.5  1.02 101.9    9.8  4.62   737     0   101   1.21 00:36:31    
 42.8   8.8    0.0   48.3  0.86  86.5    8.7  6.39   676     0   101   1.21 00:36:41    
 40.6  13.5    0.0   45.9  0.91  91.2    9.3  6.56   781     0   101   1.21 00:36:51    
 45.6  15.8    0.2   38.4  1.31 131.4   12.9  5.86   936     0   101   1.21 00:37:01    
 30.3  14.7    0.1   54.9  0.77  76.5    8.6  6.62  1019     0   101   1.21 00:37:11    
 49.5   9.9    0.0   40.6  1.06 105.9   10.1  6.06   698     0   101   1.21 00:37:21    
 29.0  10.6    0.0   60.5  0.67  67.4    7.1  5.71   632     0   101   1.21 00:37:31    
 49.3  10.0    0.0   40.7  1.10 110.3   10.5  6.28   734     0   101   1.21 00:37:41    
 26.0   8.7    0.0   65.3  0.59  59.3    6.6  5.59   547     0   101   1.21 00:37:51    
 48.1  11.9    0.0   40.0  1.10 109.9   11.4  6.25   741     0   101   1.21 00:38:01    
 28.9  10.3    0.0   60.8  0.66  66.2    8.0  4.87  1012     0   101   1.21 00:38:11    
 46.3  12.7    0.0   40.9  1.06 105.8    9.7  5.60   756     0   101   1.21 00:38:21    
 36.5   9.9    0.0   53.6  0.78  77.6    8.3  5.15   923     0   101   1.21 00:38:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 46.3  13.3    0.0   40.5  1.01 101.3    9.8  6.83   850     0   101   1.21 00:38:41    
 43.1   8.9    0.0   48.0  0.87  87.0    8.8  6.91   739     0   101   1.21 00:38:51    
 39.3  13.1    0.0   47.6  0.88  87.9    9.2  6.01   630     0   101   1.21 00:39:01    
 48.5  10.9    0.0   40.6  1.01 100.9    9.7  4.84   750     0   101   1.21 00:39:11    
 31.7  11.2    0.0   57.0  0.73  72.7    7.8  6.31   585     0   101   1.21 00:39:21    
 50.3   9.5    0.0   40.2  1.06 105.6    9.7  5.89   662     0   101   1.21 00:39:31    
 31.4  12.3    0.0   56.3  0.74  74.3    7.6  6.67   682     0   101   1.21 00:39:41    
 50.1   9.1    0.0   40.8  1.04 104.4    9.7  6.25   681     0   101   1.21 00:39:51    
 29.1  11.0    0.0   60.0  0.67  66.6    8.0  6.73   861     0   101   1.21 00:40:01    
 50.4  27.2    0.0   22.3  1.88 188.2   41.5  2.24  3733     0   101   1.21 00:40:11    
 34.5   8.0    0.0   57.5  0.72  71.5    6.8  5.66   934     0   101   1.21 00:40:21    
 44.5  14.6    0.0   40.9  0.99  98.6    9.5  4.51   704     0   101   1.21 00:40:31    
 46.2   9.2    0.0   44.6  0.93  93.2    8.9  6.73   865     0   101   1.21 00:40:41    
 36.2  12.4    0.0   51.4  0.82  82.5    8.6  5.86   671     0   101   1.21 00:40:51    
 49.6   9.8    0.0   40.6  1.04 104.5    9.6  6.87   862     0   101   1.21 00:41:01    
 30.8  12.6    0.1   56.4  0.74  73.7    8.1  5.96   878     0   101   1.21 00:41:11    
 49.0  10.6    0.0   40.4  1.14 114.2   10.6  6.06   951     0   101   1.21 00:41:21    
 25.5   9.6    0.0   64.9  0.60  59.9    6.4  6.20   770     0   101   1.21 00:41:31    
